NAME,CODE,IS_GROUP,CHILDREN,HIERARCHY,LEVEL1,LEVEL2,LEVEL3,LEVEL4,LEVEL5,LEVEL6,LEVEL7,LEVEL8,LEVEL9,LEVEL10,LEVEL11,LEVEL12,LEVEL13,LEVEL14,LEVEL15,LEVEL16,LEVEL17,LEVEL18,LEVEL19,LEVEL20
Recycled Carbon RFNBO,RC_RFNBO,false,,ALL#FUELS#E_FUELS#RC_RFNBO,ALL,FUELS,E_FUELS,RC_RFNBO,RC_RFNBO,RC_RFNBO,RC_RFNBO,RC_RFNBO,RC_RFNBO,RC_RFNBO,RC_RFNBO,RC_RFNBO,RC_RFNBO,RC_RFNBO,RC_RFNBO,RC_RFNBO,RC_RFNBO,RC_RFNBO,RC_RFNBO,RC_RFNBO
Super-M Meat Duck ,MEATDUCKM,false,,LIVESTOCKMEAT#LIVESTOCK_#LIVESTOCK_LIVE_POULTRY#DUCK#MEATDUCKM,LIVESTOCKMEAT,LIVESTOCK_,LIVESTOCK_LIVE_POULTRY,DUCK,MEATDUCKM,MEATDUCKM,MEATDUCKM,MEATDUCKM,MEATDUCKM,MEATDUCKM,MEATDUCKM,MEATDUCKM,MEATDUCKM,MEATDUCKM,MEATDUCKM,MEATDUCKM,MEATDUCKM,MEATDUCKM,MEATDUCKM,MEATDUCKM
Irrigated Rice,IRR_RICE,false,,ALL#AGS#BULK_AGS#GRAINS_BYPGRAINS#GRAINS#RICE_BYPRICE#RICE#IRR_RICE,ALL,AGS,BULK_AGS,GRAINS_BYPGRAINS,GRAINS,RICE_BYPRICE,RICE,IRR_RICE,IRR_RICE,IRR_RICE,IRR_RICE,IRR_RICE,IRR_RICE,IRR_RICE,IRR_RICE,IRR_RICE,IRR_RICE,IRR_RICE,IRR_RICE,IRR_RICE
RBD Palm Olein,RBD_POLE,false,,ALL#AGS#LIQUID_AGS#VEGOILS#POL#RBD_POLE,ALL,AGS,LIQUID_AGS,VEGOILS,POL,RBD_POLE,RBD_POLE,RBD_POLE,RBD_POLE,RBD_POLE,RBD_POLE,RBD_POLE,RBD_POLE,RBD_POLE,RBD_POLE,RBD_POLE,RBD_POLE,RBD_POLE,RBD_POLE,RBD_POLE
White Sugar,WHITE_SUG,false,,ALL#AGS#BULK_AGS#SUG_BYPSUG#SUG#WHITE_SUG,ALL,AGS,BULK_AGS,SUG_BYPSUG,SUG,WHITE_SUG,WHITE_SUG,WHITE_SUG,WHITE_SUG,WHITE_SUG,WHITE_SUG,WHITE_SUG,WHITE_SUG,WHITE_SUG,WHITE_SUG,WHITE_SUG,WHITE_SUG,WHITE_SUG,WHITE_SUG,WHITE_SUG
Cotton Apparel Knitted3,CTAK3,false,,ALL#BULK#FIBER#CTA#CTAK#CTAK3,ALL,BULK,FIBER,CTA,CTAK,CTAK3,CTAK3,CTAK3,CTAK3,CTAK3,CTAK3,CTAK3,CTAK3,CTAK3,CTAK3,CTAK3,CTAK3,CTAK3,CTAK3,CTAK3
Orange,ORA,false,,ALL#AGS#FRUIT#ORA,ALL,AGS,FRUIT,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA,ORA
Maize and flaked maize,MAIZE_FLAKED_M,false,,ALL#AGS#BULK_AGS#LIVESTOCK#COMP_FEED#MAIZE_FLAKED_M,ALL,AGS,BULK_AGS,LIVESTOCK,COMP_FEED,MAIZE_FLAKED_M,MAIZE_FLAKED_M,MAIZE_FLAKED_M,MAIZE_FLAKED_M,MAIZE_FLAKED_M,MAIZE_FLAKED_M,MAIZE_FLAKED_M,MAIZE_FLAKED_M,MAIZE_FLAKED_M,MAIZE_FLAKED_M,MAIZE_FLAKED_M,MAIZE_FLAKED_M,MAIZE_FLAKED_M,MAIZE_FLAKED_M,MAIZE_FLAKED_M
Male Bovine 12 to 24 months (Class R),BOVINE_R_M_12_24,false,,ALL#AGS#BULK_AGS#LIVESTOCK#LANI#LBOV#BOVINE_R_M_12_24,ALL,AGS,BULK_AGS,LIVESTOCK,LANI,LBOV,BOVINE_R_M_12_24,BOVINE_R_M_12_24,BOVINE_R_M_12_24,BOVINE_R_M_12_24,BOVINE_R_M_12_24,BOVINE_R_M_12_24,BOVINE_R_M_12_24,BOVINE_R_M_12_24,BOVINE_R_M_12_24,BOVINE_R_M_12_24,BOVINE_R_M_12_24,BOVINE_R_M_12_24,BOVINE_R_M_12_24,BOVINE_R_M_12_24
Onion,ONION,false,,ALL#AGS#ONION,ALL,AGS,ONION,ONION,ONION,ONION,ONION,ONION,ONION,ONION,ONION,ONION,ONION,ONION,ONION,ONION,ONION,ONION,ONION,ONION
Cattle excl. Calves,CATTLE_NO_CLV,false,,ALL#AGS#BULK_AGS#LIVESTOCK#CATTLE_CALVES#CATTLE_NO_CLV,ALL,AGS,BULK_AGS,LIVESTOCK,CATTLE_CALVES,CATTLE_NO_CLV,CATTLE_NO_CLV,CATTLE_NO_CLV,CATTLE_NO_CLV,CATTLE_NO_CLV,CATTLE_NO_CLV,CATTLE_NO_CLV,CATTLE_NO_CLV,CATTLE_NO_CLV,CATTLE_NO_CLV,CATTLE_NO_CLV,CATTLE_NO_CLV,CATTLE_NO_CLV,CATTLE_NO_CLV,CATTLE_NO_CLV
Rail Wagons,WAGON,false,,ALL#OTHERS#WAGON,ALL,OTHERS,WAGON,WAGON,WAGON,WAGON,WAGON,WAGON,WAGON,WAGON,WAGON,WAGON,WAGON,WAGON,WAGON,WAGON,WAGON,WAGON,WAGON,WAGON
Live Poultry,LIVESTOCK_LIVE_POULTRY,false,,LIVESTOCKMEAT#LIVESTOCK_#LIVESTOCK_LIVE_POULTRY,LIVESTOCKMEAT,LIVESTOCK_,LIVESTOCK_LIVE_POULTRY,LIVESTOCK_LIVE_POULTRY,LIVESTOCK_LIVE_POULTRY,LIVESTOCK_LIVE_POULTRY,LIVESTOCK_LIVE_POULTRY,LIVESTOCK_LIVE_POULTRY,LIVESTOCK_LIVE_POULTRY,LIVESTOCK_LIVE_POULTRY,LIVESTOCK_LIVE_POULTRY,LIVESTOCK_LIVE_POULTRY,LIVESTOCK_LIVE_POULTRY,LIVESTOCK_LIVE_POULTRY,LIVESTOCK_LIVE_POULTRY,LIVESTOCK_LIVE_POULTRY,LIVESTOCK_LIVE_POULTRY,LIVESTOCK_LIVE_POULTRY,LIVESTOCK_LIVE_POULTRY,LIVESTOCK_LIVE_POULTRY
chickpeas broken,CHICKPB,false,,ALL#AGS#BULK_AGS#PULSE_PROT_PROD_GRAINS#PULSES#CHICKP#CHICKPB,ALL,AGS,BULK_AGS,PULSE_PROT_PROD_GRAINS,PULSES,CHICKP,CHICKPB,CHICKPB,CHICKPB,CHICKPB,CHICKPB,CHICKPB,CHICKPB,CHICKPB,CHICKPB,CHICKPB,CHICKPB,CHICKPB,CHICKPB,CHICKPB
Tryptophan,Tryptophan,false,,amino_acid#Tryptophan,amino_acid,Tryptophan,Tryptophan,Tryptophan,Tryptophan,Tryptophan,Tryptophan,Tryptophan,Tryptophan,Tryptophan,Tryptophan,Tryptophan,Tryptophan,Tryptophan,Tryptophan,Tryptophan,Tryptophan,Tryptophan,Tryptophan,Tryptophan
Mandarin (Hybrid),MANDA_HYB,false,,ALL#AGS#FRUIT#MANDA#MANDA_HYB,ALL,AGS,FRUIT,MANDA,MANDA_HYB,MANDA_HYB,MANDA_HYB,MANDA_HYB,MANDA_HYB,MANDA_HYB,MANDA_HYB,MANDA_HYB,MANDA_HYB,MANDA_HYB,MANDA_HYB,MANDA_HYB,MANDA_HYB,MANDA_HYB,MANDA_HYB,MANDA_HYB
Potato 2nd Crop,2ND_POTATO,false,,ALL#AGS#STARCH#POTATO#2ND_POTATO,ALL,AGS,STARCH,POTATO,2ND_POTATO,2ND_POTATO,2ND_POTATO,2ND_POTATO,2ND_POTATO,2ND_POTATO,2ND_POTATO,2ND_POTATO,2ND_POTATO,2ND_POTATO,2ND_POTATO,2ND_POTATO,2ND_POTATO,2ND_POTATO,2ND_POTATO,2ND_POTATO
Lambs for Slaughter,LAMB_SLAUGHTER,false,,ALL#AGS#BULK_AGS#LIVESTOCK#LAMB_SLAUGHTER,ALL,AGS,BULK_AGS,LIVESTOCK,LAMB_SLAUGHTER,LAMB_SLAUGHTER,LAMB_SLAUGHTER,LAMB_SLAUGHTER,LAMB_SLAUGHTER,LAMB_SLAUGHTER,LAMB_SLAUGHTER,LAMB_SLAUGHTER,LAMB_SLAUGHTER,LAMB_SLAUGHTER,LAMB_SLAUGHTER,LAMB_SLAUGHTER,LAMB_SLAUGHTER,LAMB_SLAUGHTER,LAMB_SLAUGHTER,LAMB_SLAUGHTER
Calf,CALF,false,,CALF,CALF,CALF,CALF,CALF,CALF,CALF,CALF,CALF,CALF,CALF,CALF,CALF,CALF,CALF,CALF,CALF,CALF,CALF,CALF,CALF
Glucose Monohydrate,glucose_monohydrate,false,,ALL#AGS#BULK_AGS#SUG_BYPSUG#SUG#LIQUIDSUG#glucose#glucose_monohydrate,ALL,AGS,BULK_AGS,SUG_BYPSUG,SUG,LIQUIDSUG,glucose,glucose_monohydrate,glucose_monohydrate,glucose_monohydrate,glucose_monohydrate,glucose_monohydrate,glucose_monohydrate,glucose_monohydrate,glucose_monohydrate,glucose_monohydrate,glucose_monohydrate,glucose_monohydrate,glucose_monohydrate,glucose_monohydrate
Refined Palm Oil - melting point 33°C,RPO_33,false,,ALL#AGS#LIQUID_AGS#VEGOILS#POL#RPO#RPO_33,ALL,AGS,LIQUID_AGS,VEGOILS,POL,RPO,RPO_33,RPO_33,RPO_33,RPO_33,RPO_33,RPO_33,RPO_33,RPO_33,RPO_33,RPO_33,RPO_33,RPO_33,RPO_33,RPO_33
Hard Red Winter 12% Protein,HRW120,false,,ALL#AGS#BULK_AGS#GRAINS_BYPGRAINS#GRAINS#GRAINS_WHEAT_SPELT#WHT_BYPWHT#WHT#SWHT_BYPSWHT#SWHTALL#SWHT#SWHTUSA#HRW#HRW120,ALL,AGS,BULK_AGS,GRAINS_BYPGRAINS,GRAINS,GRAINS_WHEAT_SPELT,WHT_BYPWHT,WHT,SWHT_BYPSWHT,SWHTALL,SWHT,SWHTUSA,HRW,HRW120,HRW120,HRW120,HRW120,HRW120,HRW120,HRW120
Furnace Oil,FURNACE_OIL,false,,ALL#FUELS#FOSS_FUEL#CRUDE_AND_PETROLEUM_PRODUCTS#CRUDEOIL#FURNACE_OIL,ALL,FUELS,FOSS_FUEL,CRUDE_AND_PETROLEUM_PRODUCTS,CRUDEOIL,FURNACE_OIL,FURNACE_OIL,FURNACE_OIL,FURNACE_OIL,FURNACE_OIL,FURNACE_OIL,FURNACE_OIL,FURNACE_OIL,FURNACE_OIL,FURNACE_OIL,FURNACE_OIL,FURNACE_OIL,FURNACE_OIL,FURNACE_OIL,FURNACE_OIL
Standardized Fat (4.0%) and Protein (3.4%) ,STANDARDIZED-FAT-AND-PROTEIN,false,,ALL#AGS#BULK_AGS#ANIM_LIVEST#APROD#DAIRY#MAC#MCNCS#MILK#MILK_COW#STANDARDIZED-FAT-AND-PROTEIN,ALL,AGS,BULK_AGS,ANIM_LIVEST,APROD,DAIRY,MAC,MCNCS,MILK,MILK_COW,STANDARDIZED-FAT-AND-PROTEIN,STANDARDIZED-FAT-AND-PROTEIN,STANDARDIZED-FAT-AND-PROTEIN,STANDARDIZED-FAT-AND-PROTEIN,STANDARDIZED-FAT-AND-PROTEIN,STANDARDIZED-FAT-AND-PROTEIN,STANDARDIZED-FAT-AND-PROTEIN,STANDARDIZED-FAT-AND-PROTEIN,STANDARDIZED-FAT-AND-PROTEIN,STANDARDIZED-FAT-AND-PROTEIN
Eggs Medium class L&M,EGG_MEDIUM_LM,false,,ALL#AGS#BULK_AGS#ANIM_LIVEST#APROD#EGG#EGG_MEDIUM_LM,ALL,AGS,BULK_AGS,ANIM_LIVEST,APROD,EGG,EGG_MEDIUM_LM,EGG_MEDIUM_LM,EGG_MEDIUM_LM,EGG_MEDIUM_LM,EGG_MEDIUM_LM,EGG_MEDIUM_LM,EGG_MEDIUM_LM,EGG_MEDIUM_LM,EGG_MEDIUM_LM,EGG_MEDIUM_LM,EGG_MEDIUM_LM,EGG_MEDIUM_LM,EGG_MEDIUM_LM,EGG_MEDIUM_LM
Mixed Nitrogenous Products,FERT_MNP,false,,ALL#AGS#FERT#FERTD#FERTDN#FERT_MNP,ALL,AGS,FERT,FERTD,FERTDN,FERT_MNP,FERT_MNP,FERT_MNP,FERT_MNP,FERT_MNP,FERT_MNP,FERT_MNP,FERT_MNP,FERT_MNP,FERT_MNP,FERT_MNP,FERT_MNP,FERT_MNP,FERT_MNP,FERT_MNP
Milked cows,MILKED-COWS,false,,LIVESTOCKMEAT#LIVESTOCK_#LIVESTOCK_BOVINE_ANIMALS#LIVESTOCK_BOVINE_ANIMALS_CATTLE#CATTLE-ADULT#COW#MILKED-COWS,LIVESTOCKMEAT,LIVESTOCK_,LIVESTOCK_BOVINE_ANIMALS,LIVESTOCK_BOVINE_ANIMALS_CATTLE,CATTLE-ADULT,COW,MILKED-COWS,MILKED-COWS,MILKED-COWS,MILKED-COWS,MILKED-COWS,MILKED-COWS,MILKED-COWS,MILKED-COWS,MILKED-COWS,MILKED-COWS,MILKED-COWS,MILKED-COWS,MILKED-COWS,MILKED-COWS
Cattle for breeding,CATTLE_BREEDING,false,,ALL#AGS#BULK_AGS#LIVESTOCK#CATTLE_CALVES#CATTLE_BREEDING,ALL,AGS,BULK_AGS,LIVESTOCK,CATTLE_CALVES,CATTLE_BREEDING,CATTLE_BREEDING,CATTLE_BREEDING,CATTLE_BREEDING,CATTLE_BREEDING,CATTLE_BREEDING,CATTLE_BREEDING,CATTLE_BREEDING,CATTLE_BREEDING,CATTLE_BREEDING,CATTLE_BREEDING,CATTLE_BREEDING,CATTLE_BREEDING,CATTLE_BREEDING,CATTLE_BREEDING
Beef diced,BEEF_DICED,false,,LIVESTOCKMEAT#LIVESTOCK_#RED_MEAT#BEEF_DICED,LIVESTOCKMEAT,LIVESTOCK_,RED_MEAT,BEEF_DICED,BEEF_DICED,BEEF_DICED,BEEF_DICED,BEEF_DICED,BEEF_DICED,BEEF_DICED,BEEF_DICED,BEEF_DICED,BEEF_DICED,BEEF_DICED,BEEF_DICED,BEEF_DICED,BEEF_DICED,BEEF_DICED,BEEF_DICED,BEEF_DICED
FOREST PRODUCTS,FPROD,false,,ALL#BULK#FPROD,ALL,BULK,FPROD,FPROD,FPROD,FPROD,FPROD,FPROD,FPROD,FPROD,FPROD,FPROD,FPROD,FPROD,FPROD,FPROD,FPROD,FPROD,FPROD,FPROD
Pardina Lentil,PARDLENT,false,,ALL#AGS#BULK_AGS#PULSE_PROT_PROD_GRAINS#PULSES#LENT#BLENT#PARDLENT,ALL,AGS,BULK_AGS,PULSE_PROT_PROD_GRAINS,PULSES,LENT,BLENT,PARDLENT,PARDLENT,PARDLENT,PARDLENT,PARDLENT,PARDLENT,PARDLENT,PARDLENT,PARDLENT,PARDLENT,PARDLENT,PARDLENT,PARDLENT
