NAME,CODE,IS_GROUP,CHILDREN,HIERARCHY,LEVEL1,LEVEL2,LEVEL3,LEVEL4,LEVEL5,LEVEL6,LEVEL7,LEVEL8,LEVEL9,LEVEL10,LEVEL11,LEVEL12,LEVEL13,LEVEL14,LEVEL15,LEVEL16,LEVEL17,LEVEL18,LEVEL19,LEVEL20
Spring Rapeseed,SPRNG_RAPESD,false,,ALL#AGS#BULK_AGS#OILSEEDS_BYPOILSEEDS#OILSEEDS#TURNRAPE#RSS_BYPRSS#RSS#RSS_SPRING#SPRNG_RAPESD,ALL,AGS,BULK_AGS,OILSEEDS_BYPOILSEEDS,OILSEEDS,TURNRAPE,RSS_BYPRSS,RSS,RSS_SPRING,SPRNG_RAPESD,SPRNG_RAPESD,SPRNG_RAPESD,SPRNG_RAPESD,SPRNG_RAPESD,SPRNG_RAPESD,SPRNG_RAPESD,SPRNG_RAPESD,SPRNG_RAPESD,SPRNG_RAPESD,SPRNG_RAPESD
SHALLOT GARLIC,SGAR,false,,SGAR,SGAR,SGAR,SGAR,SGAR,SGAR,SGAR,SGAR,SGAR,SGAR,SGAR,SGAR,SGAR,SGAR,SGAR,SGAR,SGAR,SGAR,SGAR,SGAR,SGAR
Whey and Product Consisting of Natural Milk Constituents,WHEY_PCNMC,false,,ALL#AGS#BULK_AGS#ANIM_LIVEST#APROD#DAIRY#WHEY_PCNMC,ALL,AGS,BULK_AGS,ANIM_LIVEST,APROD,DAIRY,WHEY_PCNMC,WHEY_PCNMC,WHEY_PCNMC,WHEY_PCNMC,WHEY_PCNMC,WHEY_PCNMC,WHEY_PCNMC,WHEY_PCNMC,WHEY_PCNMC,WHEY_PCNMC,WHEY_PCNMC,WHEY_PCNMC,WHEY_PCNMC,WHEY_PCNMC
Carabeef meat,CARABEEFMEAT,false,,ALL#AGS#BULK_AGS#ANIM_LIVEST#APROD#MEAT#CARABEEFMEAT,ALL,AGS,BULK_AGS,ANIM_LIVEST,APROD,MEAT,CARABEEFMEAT,CARABEEFMEAT,CARABEEFMEAT,CARABEEFMEAT,CARABEEFMEAT,CARABEEFMEAT,CARABEEFMEAT,CARABEEFMEAT,CARABEEFMEAT,CARABEEFMEAT,CARABEEFMEAT,CARABEEFMEAT,CARABEEFMEAT,CARABEEFMEAT
Peanut Expellers,PNEXP,false,,ALL#AGS#BULK_AGS#OILSEEDS_BYPOILSEEDS#OILSEEDS#NUTS#PEANUT#PNM#PNEXP,ALL,AGS,BULK_AGS,OILSEEDS_BYPOILSEEDS,OILSEEDS,NUTS,PEANUT,PNM,PNEXP,PNEXP,PNEXP,PNEXP,PNEXP,PNEXP,PNEXP,PNEXP,PNEXP,PNEXP,PNEXP,PNEXP
Pineapple,PINEAPPLE,false,,ALL#AGS#PINEAPPLE,ALL,AGS,PINEAPPLE,PINEAPPLE,PINEAPPLE,PINEAPPLE,PINEAPPLE,PINEAPPLE,PINEAPPLE,PINEAPPLE,PINEAPPLE,PINEAPPLE,PINEAPPLE,PINEAPPLE,PINEAPPLE,PINEAPPLE,PINEAPPLE,PINEAPPLE,PINEAPPLE,PINEAPPLE
soya cake and meal,SOYA_CAKE_MEAL,false,,ALL#AGS#BULK_AGS#LIVESTOCK#COMP_FEED#SOYA_CAKE_MEAL,ALL,AGS,BULK_AGS,LIVESTOCK,COMP_FEED,SOYA_CAKE_MEAL,SOYA_CAKE_MEAL,SOYA_CAKE_MEAL,SOYA_CAKE_MEAL,SOYA_CAKE_MEAL,SOYA_CAKE_MEAL,SOYA_CAKE_MEAL,SOYA_CAKE_MEAL,SOYA_CAKE_MEAL,SOYA_CAKE_MEAL,SOYA_CAKE_MEAL,SOYA_CAKE_MEAL,SOYA_CAKE_MEAL,SOYA_CAKE_MEAL,SOYA_CAKE_MEAL
Calcinit,CALCIN,false,,ALL#AGS#FERT#NITROGEN#FERTNITRO#FERTDN_OTHER#CANO32#CALCIN,ALL,AGS,FERT,NITROGEN,FERTNITRO,FERTDN_OTHER,CANO32,CALCIN,CALCIN,CALCIN,CALCIN,CALCIN,CALCIN,CALCIN,CALCIN,CALCIN,CALCIN,CALCIN,CALCIN,CALCIN
Duck breeder Super-M,DBSM,false,,DBSM,DBSM,DBSM,DBSM,DBSM,DBSM,DBSM,DBSM,DBSM,DBSM,DBSM,DBSM,DBSM,DBSM,DBSM,DBSM,DBSM,DBSM,DBSM,DBSM,DBSM
"Meat, bone and fish meal",MEAT_BONE_FISH_MEAL,false,,ALL#AGS#BULK_AGS#LIVESTOCK#COMP_FEED#FEED_INGREDIENTS#MEAT_BONE_FISH_MEAL,ALL,AGS,BULK_AGS,LIVESTOCK,COMP_FEED,FEED_INGREDIENTS,MEAT_BONE_FISH_MEAL,MEAT_BONE_FISH_MEAL,MEAT_BONE_FISH_MEAL,MEAT_BONE_FISH_MEAL,MEAT_BONE_FISH_MEAL,MEAT_BONE_FISH_MEAL,MEAT_BONE_FISH_MEAL,MEAT_BONE_FISH_MEAL,MEAT_BONE_FISH_MEAL,MEAT_BONE_FISH_MEAL,MEAT_BONE_FISH_MEAL,MEAT_BONE_FISH_MEAL,MEAT_BONE_FISH_MEAL,MEAT_BONE_FISH_MEAL
Village Chicken Eggs,VILLAGECHICKENEGGS,false,,ALL#AGS#BULK_AGS#LIVESTOCK#LANI#LCHK#CHICK#EGGSCHICKEN#VILLAGECHICKENEGGS,ALL,AGS,BULK_AGS,LIVESTOCK,LANI,LCHK,CHICK,EGGSCHICKEN,VILLAGECHICKENEGGS,VILLAGECHICKENEGGS,VILLAGECHICKENEGGS,VILLAGECHICKENEGGS,VILLAGECHICKENEGGS,VILLAGECHICKENEGGS,VILLAGECHICKENEGGS,VILLAGECHICKENEGGS,VILLAGECHICKENEGGS,VILLAGECHICKENEGGS,VILLAGECHICKENEGGS,VILLAGECHICKENEGGS
Bee colonies,BEE-COLONY,false,,HONEY-BEE#BEE-COLONY,HONEY-BEE,BEE-COLONY,BEE-COLONY,BEE-COLONY,BEE-COLONY,BEE-COLONY,BEE-COLONY,BEE-COLONY,BEE-COLONY,BEE-COLONY,BEE-COLONY,BEE-COLONY,BEE-COLONY,BEE-COLONY,BEE-COLONY,BEE-COLONY,BEE-COLONY,BEE-COLONY,BEE-COLONY,BEE-COLONY
Pork belly slices,PORK_BELLY_SLICES,false,,ALL#AGS#BULK_AGS#ANIM_LIVEST#APROD#MEAT#PORK#PORKBELLY#PORK_BELLY_SLICES,ALL,AGS,BULK_AGS,ANIM_LIVEST,APROD,MEAT,PORK,PORKBELLY,PORK_BELLY_SLICES,PORK_BELLY_SLICES,PORK_BELLY_SLICES,PORK_BELLY_SLICES,PORK_BELLY_SLICES,PORK_BELLY_SLICES,PORK_BELLY_SLICES,PORK_BELLY_SLICES,PORK_BELLY_SLICES,PORK_BELLY_SLICES,PORK_BELLY_SLICES,PORK_BELLY_SLICES
Fall Rye (seeded in previous fall),FRYE,false,,ALL#AGS#BULK_AGS#GRAINS_BYPGRAINS#GRAINS#RYE_BYPRYE#RYE#FRYE,ALL,AGS,BULK_AGS,GRAINS_BYPGRAINS,GRAINS,RYE_BYPRYE,RYE,FRYE,FRYE,FRYE,FRYE,FRYE,FRYE,FRYE,FRYE,FRYE,FRYE,FRYE,FRYE,FRYE
Goldfish,GOLDFISH,false,,ALL#AGS#BULK_AGS#ANIM_LIVEST#APROD#FISH#FFISH#GOLDFISH,ALL,AGS,BULK_AGS,ANIM_LIVEST,APROD,FISH,FFISH,GOLDFISH,GOLDFISH,GOLDFISH,GOLDFISH,GOLDFISH,GOLDFISH,GOLDFISH,GOLDFISH,GOLDFISH,GOLDFISH,GOLDFISH,GOLDFISH,GOLDFISH
Sour milk quark,SOUR-MILK-QUARK,false,,ALL_MILK#SOUR-MILK#SOUR-MILK-QUARK,ALL_MILK,SOUR-MILK,SOUR-MILK-QUARK,SOUR-MILK-QUARK,SOUR-MILK-QUARK,SOUR-MILK-QUARK,SOUR-MILK-QUARK,SOUR-MILK-QUARK,SOUR-MILK-QUARK,SOUR-MILK-QUARK,SOUR-MILK-QUARK,SOUR-MILK-QUARK,SOUR-MILK-QUARK,SOUR-MILK-QUARK,SOUR-MILK-QUARK,SOUR-MILK-QUARK,SOUR-MILK-QUARK,SOUR-MILK-QUARK,SOUR-MILK-QUARK,SOUR-MILK-QUARK
Egg products,EGG_PROD,false,,ALL#AGS#BULK_AGS#ANIM_LIVEST#APROD#EGG#EGG_PROD,ALL,AGS,BULK_AGS,ANIM_LIVEST,APROD,EGG,EGG_PROD,EGG_PROD,EGG_PROD,EGG_PROD,EGG_PROD,EGG_PROD,EGG_PROD,EGG_PROD,EGG_PROD,EGG_PROD,EGG_PROD,EGG_PROD,EGG_PROD,EGG_PROD
Sliced cheese,SLICED-CHEESE,false,,ALL#AGS#BULK_AGS#ANIM_LIVEST#APROD#DAIRY#CAC#SLICED-CHEESE,ALL,AGS,BULK_AGS,ANIM_LIVEST,APROD,DAIRY,CAC,SLICED-CHEESE,SLICED-CHEESE,SLICED-CHEESE,SLICED-CHEESE,SLICED-CHEESE,SLICED-CHEESE,SLICED-CHEESE,SLICED-CHEESE,SLICED-CHEESE,SLICED-CHEESE,SLICED-CHEESE,SLICED-CHEESE,SLICED-CHEESE
Fresh turkey meat,FRESH-TURKEY,false,,ALL#AGS#BULK_AGS#LIVESTOCK#TURK_MEAT#FRESH-TURKEY,ALL,AGS,BULK_AGS,LIVESTOCK,TURK_MEAT,FRESH-TURKEY,FRESH-TURKEY,FRESH-TURKEY,FRESH-TURKEY,FRESH-TURKEY,FRESH-TURKEY,FRESH-TURKEY,FRESH-TURKEY,FRESH-TURKEY,FRESH-TURKEY,FRESH-TURKEY,FRESH-TURKEY,FRESH-TURKEY,FRESH-TURKEY,FRESH-TURKEY
Boars,BOARS,false,,LIVESTOCKMEAT#LIVESTOCK_#LIVESTOCK_LIVE_SWINE#ADULT_PIGS#BOARS,LIVESTOCKMEAT,LIVESTOCK_,LIVESTOCK_LIVE_SWINE,ADULT_PIGS,BOARS,BOARS,BOARS,BOARS,BOARS,BOARS,BOARS,BOARS,BOARS,BOARS,BOARS,BOARS,BOARS,BOARS,BOARS,BOARS
Bauxite,BAUXITE,false,,ALL#AGS#BULK_AGS#LIVESTOCK#COMP_FEED#MINERALS#BAUXITE,ALL,AGS,BULK_AGS,LIVESTOCK,COMP_FEED,MINERALS,BAUXITE,BAUXITE,BAUXITE,BAUXITE,BAUXITE,BAUXITE,BAUXITE,BAUXITE,BAUXITE,BAUXITE,BAUXITE,BAUXITE,BAUXITE,BAUXITE
 Backyard Carabao for Breeding,BACKCARABAOBREED,false,,BACKCARABAOBREED,BACKCARABAOBREED,BACKCARABAOBREED,BACKCARABAOBREED,BACKCARABAOBREED,BACKCARABAOBREED,BACKCARABAOBREED,BACKCARABAOBREED,BACKCARABAOBREED,BACKCARABAOBREED,BACKCARABAOBREED,BACKCARABAOBREED,BACKCARABAOBREED,BACKCARABAOBREED,BACKCARABAOBREED,BACKCARABAOBREED,BACKCARABAOBREED,BACKCARABAOBREED,BACKCARABAOBREED,BACKCARABAOBREED,BACKCARABAOBREED
DL-Methionine 99%,DL_METH,false,,amino_acid#Methionine#DL_METH,amino_acid,Methionine,DL_METH,DL_METH,DL_METH,DL_METH,DL_METH,DL_METH,DL_METH,DL_METH,DL_METH,DL_METH,DL_METH,DL_METH,DL_METH,DL_METH,DL_METH,DL_METH,DL_METH,DL_METH
Red fish,REDFISH,false,,ALL#AGS#BULK_AGS#ANIM_LIVEST#APROD#FISH#FFISH#REDFISH,ALL,AGS,BULK_AGS,ANIM_LIVEST,APROD,FISH,FFISH,REDFISH,REDFISH,REDFISH,REDFISH,REDFISH,REDFISH,REDFISH,REDFISH,REDFISH,REDFISH,REDFISH,REDFISH,REDFISH
Lower Quality Rice I ,LOWERQUALITYRICEI,false,,ALL#AGS#BULK_AGS#GRAINS_BYPGRAINS#GRAINS#RICE_BYPRICE#RICE#RICE_GRADED#LOWERQUALITYRICEI,ALL,AGS,BULK_AGS,GRAINS_BYPGRAINS,GRAINS,RICE_BYPRICE,RICE,RICE_GRADED,LOWERQUALITYRICEI,LOWERQUALITYRICEI,LOWERQUALITYRICEI,LOWERQUALITYRICEI,LOWERQUALITYRICEI,LOWERQUALITYRICEI,LOWERQUALITYRICEI,LOWERQUALITYRICEI,LOWERQUALITYRICEI,LOWERQUALITYRICEI,LOWERQUALITYRICEI,LOWERQUALITYRICEI
Meat poultry,MCHK,false,,ALL#AGS#BULK_AGS#ANIM_LIVEST#APROD#MEAT#MCHK,ALL,AGS,BULK_AGS,ANIM_LIVEST,APROD,MEAT,MCHK,MCHK,MCHK,MCHK,MCHK,MCHK,MCHK,MCHK,MCHK,MCHK,MCHK,MCHK,MCHK,MCHK
Lamb chops,LAMB_CHOPS,false,,LIVESTOCKMEAT#LIVESTOCK_#RED_MEAT#LAMB_CHOPS,LIVESTOCKMEAT,LIVESTOCK_,RED_MEAT,LAMB_CHOPS,LAMB_CHOPS,LAMB_CHOPS,LAMB_CHOPS,LAMB_CHOPS,LAMB_CHOPS,LAMB_CHOPS,LAMB_CHOPS,LAMB_CHOPS,LAMB_CHOPS,LAMB_CHOPS,LAMB_CHOPS,LAMB_CHOPS,LAMB_CHOPS,LAMB_CHOPS,LAMB_CHOPS,LAMB_CHOPS
Non-food/feed crops from degraded lands (SAF),NFOOD_NFEED_CROPS,false,,ALL#AGS#CROP#NFOOD_NFEED_CROPS,ALL,AGS,CROP,NFOOD_NFEED_CROPS,NFOOD_NFEED_CROPS,NFOOD_NFEED_CROPS,NFOOD_NFEED_CROPS,NFOOD_NFEED_CROPS,NFOOD_NFEED_CROPS,NFOOD_NFEED_CROPS,NFOOD_NFEED_CROPS,NFOOD_NFEED_CROPS,NFOOD_NFEED_CROPS,NFOOD_NFEED_CROPS,NFOOD_NFEED_CROPS,NFOOD_NFEED_CROPS,NFOOD_NFEED_CROPS,NFOOD_NFEED_CROPS,NFOOD_NFEED_CROPS,NFOOD_NFEED_CROPS
Imported red onion,IMPREDONION,false,,ALL#AGS#ONION#REDONION#IMPREDONION,ALL,AGS,ONION,REDONION,IMPREDONION,IMPREDONION,IMPREDONION,IMPREDONION,IMPREDONION,IMPREDONION,IMPREDONION,IMPREDONION,IMPREDONION,IMPREDONION,IMPREDONION,IMPREDONION,IMPREDONION,IMPREDONION,IMPREDONION,IMPREDONION
"Piglets, From South East",PIGLETS-SOUTH-EAST,false,,LIVESTOCKMEAT#LIVESTOCK_#LIVESTOCK_LIVE_SWINE#PIGL#PIGLETS-SOUTH-EAST,LIVESTOCKMEAT,LIVESTOCK_,LIVESTOCK_LIVE_SWINE,PIGL,PIGLETS-SOUTH-EAST,PIGLETS-SOUTH-EAST,PIGLETS-SOUTH-EAST,PIGLETS-SOUTH-EAST,PIGLETS-SOUTH-EAST,PIGLETS-SOUTH-EAST,PIGLETS-SOUTH-EAST,PIGLETS-SOUTH-EAST,PIGLETS-SOUTH-EAST,PIGLETS-SOUTH-EAST,PIGLETS-SOUTH-EAST,PIGLETS-SOUTH-EAST,PIGLETS-SOUTH-EAST,PIGLETS-SOUTH-EAST,PIGLETS-SOUTH-EAST,PIGLETS-SOUTH-EAST
all other cattle blends,OTHER_CATTLE_BLENDS,false,,ALL#AGS#BULK_AGS#LIVESTOCK#COMP_FEED#OTHER_CATTLE_BLENDS,ALL,AGS,BULK_AGS,LIVESTOCK,COMP_FEED,OTHER_CATTLE_BLENDS,OTHER_CATTLE_BLENDS,OTHER_CATTLE_BLENDS,OTHER_CATTLE_BLENDS,OTHER_CATTLE_BLENDS,OTHER_CATTLE_BLENDS,OTHER_CATTLE_BLENDS,OTHER_CATTLE_BLENDS,OTHER_CATTLE_BLENDS,OTHER_CATTLE_BLENDS,OTHER_CATTLE_BLENDS,OTHER_CATTLE_BLENDS,OTHER_CATTLE_BLENDS,OTHER_CATTLE_BLENDS,OTHER_CATTLE_BLENDS
Air-Cured Tobacco,ACT,false,,ALL#AGS#TOBAC#ACT,ALL,AGS,TOBAC,ACT,ACT,ACT,ACT,ACT,ACT,ACT,ACT,ACT,ACT,ACT,ACT,ACT,ACT,ACT,ACT,ACT
PULSES,PULSES,false,,ALL#AGS#BULK_AGS#PULSE_PROT_PROD_GRAINS#PULSES,ALL,AGS,BULK_AGS,PULSE_PROT_PROD_GRAINS,PULSES,PULSES,PULSES,PULSES,PULSES,PULSES,PULSES,PULSES,PULSES,PULSES,PULSES,PULSES,PULSES,PULSES,PULSES,PULSES
Red snapper 0.8kg,REDSNAPPER,false,,ALL#AGS#BULK_AGS#ANIM_LIVEST#APROD#FISH#FFISH#REDSNAPPER,ALL,AGS,BULK_AGS,ANIM_LIVEST,APROD,FISH,FFISH,REDSNAPPER,REDSNAPPER,REDSNAPPER,REDSNAPPER,REDSNAPPER,REDSNAPPER,REDSNAPPER,REDSNAPPER,REDSNAPPER,REDSNAPPER,REDSNAPPER,REDSNAPPER,REDSNAPPER
Dark and Northern Spring Wheat 14% Protein,NS_DNS140,false,,ALL#AGS#BULK_AGS#GRAINS_BYPGRAINS#GRAINS#GRAINS_WHEAT_SPELT#WHT_BYPWHT#WHT#SWHT_BYPSWHT#SWHTALL#SWHT#SWHTUSA#HRS#NS_DNS140,ALL,AGS,BULK_AGS,GRAINS_BYPGRAINS,GRAINS,GRAINS_WHEAT_SPELT,WHT_BYPWHT,WHT,SWHT_BYPSWHT,SWHTALL,SWHT,SWHTUSA,HRS,NS_DNS140,NS_DNS140,NS_DNS140,NS_DNS140,NS_DNS140,NS_DNS140,NS_DNS140
Bison,BISON,false,,LIVESTOCKMEAT#LIVESTOCK_#LIVESTOCK_BOVINE_ANIMALS#BISON,LIVESTOCKMEAT,LIVESTOCK_,LIVESTOCK_BOVINE_ANIMALS,BISON,BISON,BISON,BISON,BISON,BISON,BISON,BISON,BISON,BISON,BISON,BISON,BISON,BISON,BISON,BISON,BISON
Cream,CREAM,false,,ALL#AGS#BULK_AGS#ANIM_LIVEST#APROD#DAIRY#MAC#CREAM,ALL,AGS,BULK_AGS,ANIM_LIVEST,APROD,DAIRY,MAC,CREAM,CREAM,CREAM,CREAM,CREAM,CREAM,CREAM,CREAM,CREAM,CREAM,CREAM,CREAM,CREAM
Méthanolate de sodium,METHYLATE,false,,ALL#CHEMS#METHYLATE,ALL,CHEMS,METHYLATE,METHYLATE,METHYLATE,METHYLATE,METHYLATE,METHYLATE,METHYLATE,METHYLATE,METHYLATE,METHYLATE,METHYLATE,METHYLATE,METHYLATE,METHYLATE,METHYLATE,METHYLATE,METHYLATE,METHYLATE
Other Vegoils,OTHER_VEGOILS,false,,ALL#AGS#LIQUID_AGS#VEGOILS#OTHER_VEGOILS,ALL,AGS,LIQUID_AGS,VEGOILS,OTHER_VEGOILS,OTHER_VEGOILS,OTHER_VEGOILS,OTHER_VEGOILS,OTHER_VEGOILS,OTHER_VEGOILS,OTHER_VEGOILS,OTHER_VEGOILS,OTHER_VEGOILS,OTHER_VEGOILS,OTHER_VEGOILS,OTHER_VEGOILS,OTHER_VEGOILS,OTHER_VEGOILS,OTHER_VEGOILS,OTHER_VEGOILS
Other non-pregnant sows,OTHER-NON-PREGNANT-SOWS,false,,ALL#AGS#BULK_AGS#LIVESTOCK#HOGS#SOWS-PIG#OTHER-NON-PREGNANT-SOWS,ALL,AGS,BULK_AGS,LIVESTOCK,HOGS,SOWS-PIG,OTHER-NON-PREGNANT-SOWS,OTHER-NON-PREGNANT-SOWS,OTHER-NON-PREGNANT-SOWS,OTHER-NON-PREGNANT-SOWS,OTHER-NON-PREGNANT-SOWS,OTHER-NON-PREGNANT-SOWS,OTHER-NON-PREGNANT-SOWS,OTHER-NON-PREGNANT-SOWS,OTHER-NON-PREGNANT-SOWS,OTHER-NON-PREGNANT-SOWS,OTHER-NON-PREGNANT-SOWS,OTHER-NON-PREGNANT-SOWS,OTHER-NON-PREGNANT-SOWS,OTHER-NON-PREGNANT-SOWS
Ground-Nut Oil,GNO,false,,ALL#AGS#LIQUID_AGS#VEGOILS#GNO,ALL,AGS,LIQUID_AGS,VEGOILS,GNO,GNO,GNO,GNO,GNO,GNO,GNO,GNO,GNO,GNO,GNO,GNO,GNO,GNO,GNO,GNO
Large-Scale Pig,LS_PIG,false,,ALL#AGS#BULK_AGS#LIVESTOCK#PIG#LS_PIG,ALL,AGS,BULK_AGS,LIVESTOCK,PIG,LS_PIG,LS_PIG,LS_PIG,LS_PIG,LS_PIG,LS_PIG,LS_PIG,LS_PIG,LS_PIG,LS_PIG,LS_PIG,LS_PIG,LS_PIG,LS_PIG,LS_PIG
"Pigs, Class S",PIGS-S,false,,ALL#AGS#BULK_AGS#LIVESTOCK#HOGS#PIGS-S,ALL,AGS,BULK_AGS,LIVESTOCK,HOGS,PIGS-S,PIGS-S,PIGS-S,PIGS-S,PIGS-S,PIGS-S,PIGS-S,PIGS-S,PIGS-S,PIGS-S,PIGS-S,PIGS-S,PIGS-S,PIGS-S,PIGS-S
SWEET LUPINE,SWEETLUPINE,false,,ALL#AGS#SWEETLUPINE,ALL,AGS,SWEETLUPINE,SWEETLUPINE,SWEETLUPINE,SWEETLUPINE,SWEETLUPINE,SWEETLUPINE,SWEETLUPINE,SWEETLUPINE,SWEETLUPINE,SWEETLUPINE,SWEETLUPINE,SWEETLUPINE,SWEETLUPINE,SWEETLUPINE,SWEETLUPINE,SWEETLUPINE,SWEETLUPINE,SWEETLUPINE
Breeding Pig (50Kg),PIG_BREEDING_50,false,,ALL#AGS#BULK_AGS#LIVESTOCK#HOGS#HOGS_BREEDING#PIG_BREEDING_50,ALL,AGS,BULK_AGS,LIVESTOCK,HOGS,HOGS_BREEDING,PIG_BREEDING_50,PIG_BREEDING_50,PIG_BREEDING_50,PIG_BREEDING_50,PIG_BREEDING_50,PIG_BREEDING_50,PIG_BREEDING_50,PIG_BREEDING_50,PIG_BREEDING_50,PIG_BREEDING_50,PIG_BREEDING_50,PIG_BREEDING_50,PIG_BREEDING_50,PIG_BREEDING_50
CF: Dairy Goat,CF_DR_GOAT,false,,ALL#AGS#BULK_AGS#LIVESTOCK#COMP_FEED#CF_DR_GOAT,ALL,AGS,BULK_AGS,LIVESTOCK,COMP_FEED,CF_DR_GOAT,CF_DR_GOAT,CF_DR_GOAT,CF_DR_GOAT,CF_DR_GOAT,CF_DR_GOAT,CF_DR_GOAT,CF_DR_GOAT,CF_DR_GOAT,CF_DR_GOAT,CF_DR_GOAT,CF_DR_GOAT,CF_DR_GOAT,CF_DR_GOAT,CF_DR_GOAT
Program-controlled Switchboards,PGSW,false,,ELECTRICITY#PGSW,ELECTRICITY,PGSW,PGSW,PGSW,PGSW,PGSW,PGSW,PGSW,PGSW,PGSW,PGSW,PGSW,PGSW,PGSW,PGSW,PGSW,PGSW,PGSW,PGSW,PGSW
Hom Mali rice,HOMAALI,false,,ALL#AGS#BULK_AGS#GRAINS_BYPGRAINS#GRAINS#RICE_BYPRICE#RICE#RICE_INDICA#JASMINRICE#HOMAALI,ALL,AGS,BULK_AGS,GRAINS_BYPGRAINS,GRAINS,RICE_BYPRICE,RICE,RICE_INDICA,JASMINRICE,HOMAALI,HOMAALI,HOMAALI,HOMAALI,HOMAALI,HOMAALI,HOMAALI,HOMAALI,HOMAALI,HOMAALI,HOMAALI
Pork: Variety Meats,SWINE_VM,false,,ALL#AGS#BULK_AGS#ANIM_LIVEST#APROD#MEAT#MSWI#SWINE_VM,ALL,AGS,BULK_AGS,ANIM_LIVEST,APROD,MEAT,MSWI,SWINE_VM,SWINE_VM,SWINE_VM,SWINE_VM,SWINE_VM,SWINE_VM,SWINE_VM,SWINE_VM,SWINE_VM,SWINE_VM,SWINE_VM,SWINE_VM,SWINE_VM
Pumpkin,PUMP,false,,ALL#AGS#PUMP,ALL,AGS,PUMP,PUMP,PUMP,PUMP,PUMP,PUMP,PUMP,PUMP,PUMP,PUMP,PUMP,PUMP,PUMP,PUMP,PUMP,PUMP,PUMP,PUMP
Fossil Fuels,FOSS_FUEL,false,,ALL#FUELS#FOSS_FUEL,ALL,FUELS,FOSS_FUEL,FOSS_FUEL,FOSS_FUEL,FOSS_FUEL,FOSS_FUEL,FOSS_FUEL,FOSS_FUEL,FOSS_FUEL,FOSS_FUEL,FOSS_FUEL,FOSS_FUEL,FOSS_FUEL,FOSS_FUEL,FOSS_FUEL,FOSS_FUEL,FOSS_FUEL,FOSS_FUEL,FOSS_FUEL
Reformulated Gasoline Premium,REF_GAS_P,false,,ALL#FUELS#FOSS_FUEL#GASOLINE#REF_GAS_P,ALL,FUELS,FOSS_FUEL,GASOLINE,REF_GAS_P,REF_GAS_P,REF_GAS_P,REF_GAS_P,REF_GAS_P,REF_GAS_P,REF_GAS_P,REF_GAS_P,REF_GAS_P,REF_GAS_P,REF_GAS_P,REF_GAS_P,REF_GAS_P,REF_GAS_P,REF_GAS_P,REF_GAS_P
Portable Electric Devices,PELD,false,,ALL#OTH_PROD#PELD,ALL,OTH_PROD,PELD,PELD,PELD,PELD,PELD,PELD,PELD,PELD,PELD,PELD,PELD,PELD,PELD,PELD,PELD,PELD,PELD,PELD
Metals and Minerals,MANDM,false,,ALL#MANDM,ALL,MANDM,MANDM,MANDM,MANDM,MANDM,MANDM,MANDM,MANDM,MANDM,MANDM,MANDM,MANDM,MANDM,MANDM,MANDM,MANDM,MANDM,MANDM,MANDM
No.3 CW AD,ADCWAD3,false,,ALL#AGS#BULK_AGS#GRAINS_BYPGRAINS#GRAINS#GRAINS_WHEAT_SPELT#WHT_BYPWHT#WHT#DWHT_BYPDWHT#DWHT#DWHTUSA#DWHT_A#ADCWAD3,ALL,AGS,BULK_AGS,GRAINS_BYPGRAINS,GRAINS,GRAINS_WHEAT_SPELT,WHT_BYPWHT,WHT,DWHT_BYPDWHT,DWHT,DWHTUSA,DWHT_A,ADCWAD3,ADCWAD3,ADCWAD3,ADCWAD3,ADCWAD3,ADCWAD3,ADCWAD3,ADCWAD3
Broiler: Fresh or Chilled,CHK_TURK_MEAT_FC,false,,ALL#AGS#BULK_AGS#ANIM_LIVEST#APROD#MEAT#CHK_TURK_MEAT#CHK_TURK_MEAT_FF#CHK_TURK_MEAT_FC,ALL,AGS,BULK_AGS,ANIM_LIVEST,APROD,MEAT,CHK_TURK_MEAT,CHK_TURK_MEAT_FF,CHK_TURK_MEAT_FC,CHK_TURK_MEAT_FC,CHK_TURK_MEAT_FC,CHK_TURK_MEAT_FC,CHK_TURK_MEAT_FC,CHK_TURK_MEAT_FC,CHK_TURK_MEAT_FC,CHK_TURK_MEAT_FC,CHK_TURK_MEAT_FC,CHK_TURK_MEAT_FC,CHK_TURK_MEAT_FC,CHK_TURK_MEAT_FC
Feed Peas,FEEDPEAS,false,,FEEDPEAS,FEEDPEAS,FEEDPEAS,FEEDPEAS,FEEDPEAS,FEEDPEAS,FEEDPEAS,FEEDPEAS,FEEDPEAS,FEEDPEAS,FEEDPEAS,FEEDPEAS,FEEDPEAS,FEEDPEAS,FEEDPEAS,FEEDPEAS,FEEDPEAS,FEEDPEAS,FEEDPEAS,FEEDPEAS,FEEDPEAS
SBM and Wheat,SBM_WHT,true,"[
  ""SBM"",
  ""WHT""
]",SBM_WHT,SBM_WHT,SBM_WHT,SBM_WHT,SBM_WHT,SBM_WHT,SBM_WHT,SBM_WHT,SBM_WHT,SBM_WHT,SBM_WHT,SBM_WHT,SBM_WHT,SBM_WHT,SBM_WHT,SBM_WHT,SBM_WHT,SBM_WHT,SBM_WHT,SBM_WHT,SBM_WHT
