Product,Location,Item,Cut-off Date,Value,Value Period,Value Period multiplier,Value Period Aggregation Type,Crop Year,Value Unit,Value Unit multiplier
Soft wheat,SOUTH EAST BUENOS AIRES,area_planted,2013-11-01,650,YEAR,1,SUM,2013/2014,Hectare,1000
Soft wheat,SAN LUIS ARG,area_planted,2013-11-01,4,YEAR,1,SUM,2013/2014,Hectare,1000
Soft wheat,Cuenca del Salado,area_planted,2013-11-01,60,YEAR,1,SUM,2013/2014,Hectare,1000
Soybean,CHACO SANTIAGO,area_planted,2014-01-01,1596.11,YEAR,1,SUM,2013/2014,Hectare,1000
Corn,Argentina_Others,area_planted,2014-02-01,25,YEAR,1,SUM,2013/2014,Hectare,1000
Soybean,SOUTH CORDOBA,area_planted,2014-01-01,1437.85,YEAR,1,SUM,2013/2014,Hectare,1000
Soybean,CENTRAL NORTH SANTA FE,area_planted,2014-01-01,1119.4,YEAR,1,SUM,2013/2014,Hectare,1000
Soybean,SOUTH EAST BUENOS AIRES,area_planted,2014-01-01,1534.35,YEAR,1,SUM,2013/2014,Hectare,1000
Soybean,NORTH BELT,area_planted,2014-01-01,3435.4,YEAR,1,SUM,2013/2014,Hectare,1000
Soybean,SOUTH BELT,area_planted,2014-01-01,2702,YEAR,1,SUM,2013/2014,Hectare,1000
Soybean,WEST BUENOS AIRES NORTH LA PAMPA,area_planted,2014-01-01,1601.9,YEAR,1,SUM,2013/2014,Hectare,1000
Soybean,CENTRAL BUENOS AIRES,area_planted,2014-01-01,550.05,YEAR,1,SUM,2013/2014,Hectare,1000
Soybean,SOUTH WEST BUENOS AIRES SOUTH LA PAMPA,area_planted,2014-01-01,482.5,YEAR,1,SUM,2013/2014,Hectare,1000
Soybean,CENTRAL ENTRE RIOS,area_planted,2014-01-01,1186.95,YEAR,1,SUM,2013/2014,Hectare,1000
Soybean,SAN LUIS ARG,area_planted,2014-01-01,159.225,YEAR,1,SUM,2013/2014,Hectare,1000
Soybean,Cuenca del Salado,area_planted,2014-01-01,195.895,YEAR,1,SUM,2013/2014,Hectare,1000
Soybean,Argentina_Others,area_planted,2014-01-01,48.25,YEAR,1,SUM,2013/2014,Hectare,1000
Soybean,Argentina,area_planted,2014-01-01,19300,YEAR,1,SUM,2013/2014,Hectare,1000
Corn,WEST BUENOS AIRES NORTH LA PAMPA,area_planted,2013-02-01,523,YEAR,1,SUM,2012/2013,Hectare,1000
Soft wheat,Cuenca del Salado,area_planted,2012-11-01,50,YEAR,1,SUM,2012/2013,Hectare,1000
Corn,Argentina_Others,area_planted,2013-02-01,24,YEAR,1,SUM,2012/2013,Hectare,1000
Corn,Cuenca del Salado,area_planted,2013-02-01,72,YEAR,1,SUM,2012/2013,Hectare,1000
Corn,SAN LUIS ARG,area_planted,2013-02-01,170,YEAR,1,SUM,2012/2013,Hectare,1000
Corn,SOUTH EAST BUENOS AIRES,area_planted,2013-02-01,115,YEAR,1,SUM,2012/2013,Hectare,1000
Corn,SOUTH WEST BUENOS AIRES SOUTH LA PAMPA,area_planted,2013-02-01,132,YEAR,1,SUM,2012/2013,Hectare,1000
Corn,CENTRAL BUENOS AIRES,area_planted,2013-02-01,280,YEAR,1,SUM,2012/2013,Hectare,1000
Corn,CENTRAL ENTRE RIOS,area_planted,2013-02-01,189,YEAR,1,SUM,2012/2013,Hectare,1000
Corn,SOUTH BELT,area_planted,2013-02-01,513,YEAR,1,SUM,2012/2013,Hectare,1000
Corn,NORTH BELT,area_planted,2013-02-01,575,YEAR,1,SUM,2012/2013,Hectare,1000
Corn,CENTRAL NORTH SANTA FE,area_planted,2013-02-01,184,YEAR,1,SUM,2012/2013,Hectare,1000
Corn,SOUTH CORDOBA,area_planted,2013-02-01,571,YEAR,1,SUM,2012/2013,Hectare,1000
Corn,CENTRAL NORTH CORDOBA,area_planted,2013-02-01,563,YEAR,1,SUM,2012/2013,Hectare,1000
Corn,SALTA TUCUMAN,area_planted,2013-02-01,332,YEAR,1,SUM,2012/2013,Hectare,1000
Soft wheat,Argentina,area_planted,2012-11-01,3370,YEAR,1,SUM,2012/2013,Hectare,1000
Corn,Argentina,area_planted,2013-02-01,4600,YEAR,1,SUM,2012/2013,Hectare,1000
Soybean,SALTA TUCUMAN,area_planted,2013-01-01,1318.579,YEAR,1,SUM,2012/2013,Hectare,1000
Soybean,CHACO SANTIAGO,area_planted,2013-01-01,1948.782,YEAR,1,SUM,2012/2013,Hectare,1000
Soybean,SOUTH WEST BUENOS AIRES SOUTH LA PAMPA,area_planted,2013-01-01,402.36,YEAR,1,SUM,2012/2013,Hectare,1000
Soybean,Argentina,area_planted,2013-01-01,19100,YEAR,1,SUM,2012/2013,Hectare,1000
Soybean,Argentina_Others,area_planted,2013-01-01,58.173,YEAR,1,SUM,2012/2013,Hectare,1000
Soybean,Cuenca del Salado,area_planted,2013-01-01,208.452,YEAR,1,SUM,2012/2013,Hectare,1000
Soybean,SAN LUIS ARG,area_planted,2013-01-01,150.279,YEAR,1,SUM,2012/2013,Hectare,1000
Soybean,SOUTH EAST BUENOS AIRES,area_planted,2013-01-01,1296.279,YEAR,1,SUM,2012/2013,Hectare,1000
Soybean,CENTRAL BUENOS AIRES,area_planted,2013-01-01,405.269,YEAR,1,SUM,2012/2013,Hectare,1000
Soybean,CENTRAL NORTH CORDOBA,area_planted,2013-01-01,2423.858,YEAR,1,SUM,2012/2013,Hectare,1000
Soybean,WEST BUENOS AIRES NORTH LA PAMPA,area_planted,2013-01-01,1318.579,YEAR,1,SUM,2012/2013,Hectare,1000
Soybean,CENTRAL ENTRE RIOS,area_planted,2013-01-01,1163.452,YEAR,1,SUM,2012/2013,Hectare,1000
Soybean,SOUTH BELT,area_planted,2013-01-01,2598.376,YEAR,1,SUM,2012/2013,Hectare,1000
Soybean,NORTH BELT,area_planted,2013-01-01,3296.447,YEAR,1,SUM,2012/2013,Hectare,1000
Soybean,CENTRAL NORTH SANTA FE,area_planted,2013-01-01,1114.975,YEAR,1,SUM,2012/2013,Hectare,1000
Soybean,SOUTH CORDOBA,area_planted,2013-01-01,1396.142,YEAR,1,SUM,2012/2013,Hectare,1000
Soft wheat,Argentina_Others,area_planted,2012-11-01,7,YEAR,1,SUM,2012/2013,Hectare,1000
Corn,CHACO SANTIAGO,area_planted,2013-02-01,357,YEAR,1,SUM,2012/2013,Hectare,1000
Soft wheat,SAN LUIS ARG,area_planted,2012-11-01,3,YEAR,1,SUM,2012/2013,Hectare,1000
Soft wheat,SOUTH EAST BUENOS AIRES,area_planted,2012-11-01,550,YEAR,1,SUM,2012/2013,Hectare,1000
Soft wheat,CENTRAL NORTH SANTA FE,area_planted,2012-11-01,160,YEAR,1,SUM,2012/2013,Hectare,1000
Soft wheat,SOUTH WEST BUENOS AIRES SOUTH LA PAMPA,area_planted,2012-11-01,650,YEAR,1,SUM,2012/2013,Hectare,1000
Soft wheat,CENTRAL BUENOS AIRES,area_planted,2012-11-01,140,YEAR,1,SUM,2012/2013,Hectare,1000
Soft wheat,CENTRAL ENTRE RIOS,area_planted,2012-11-01,150,YEAR,1,SUM,2012/2013,Hectare,1000
Soft wheat,SOUTH BELT,area_planted,2012-11-01,240,YEAR,1,SUM,2012/2013,Hectare,1000
Soft wheat,NORTH BELT,area_planted,2012-11-01,265,YEAR,1,SUM,2012/2013,Hectare,1000
Soft wheat,WEST BUENOS AIRES NORTH LA PAMPA,area_planted,2012-11-01,260,YEAR,1,SUM,2012/2013,Hectare,1000
Soft wheat,SOUTH CORDOBA,area_planted,2012-11-01,130,YEAR,1,SUM,2012/2013,Hectare,1000
Soft wheat,CENTRAL NORTH CORDOBA,area_planted,2012-11-01,265,YEAR,1,SUM,2012/2013,Hectare,1000
Soft wheat,CHACO SANTIAGO,area_planted,2012-11-01,160,YEAR,1,SUM,2012/2013,Hectare,1000
Soft wheat,SALTA TUCUMAN,area_planted,2012-11-01,340,YEAR,1,SUM,2012/2013,Hectare,1000
Corn,WEST BUENOS AIRES NORTH LA PAMPA,area_planted,2012-02-01,700,YEAR,1,SUM,2011/2012,Hectare,1000
Corn,CENTRAL NORTH CORDOBA,area_planted,2012-02-01,600,YEAR,1,SUM,2011/2012,Hectare,1000
Corn,SOUTH CORDOBA,area_planted,2012-02-01,696,YEAR,1,SUM,2011/2012,Hectare,1000
Corn,CENTRAL NORTH SANTA FE,area_planted,2012-02-01,194.4,YEAR,1,SUM,2011/2012,Hectare,1000
Corn,NORTH BELT,area_planted,2012-02-01,680,YEAR,1,SUM,2011/2012,Hectare,1000
Corn,SOUTH BELT,area_planted,2012-02-01,630,YEAR,1,SUM,2011/2012,Hectare,1000
Corn,CENTRAL ENTRE RIOS,area_planted,2012-02-01,200,YEAR,1,SUM,2011/2012,Hectare,1000
Corn,CENTRAL BUENOS AIRES,area_planted,2012-02-01,310,YEAR,1,SUM,2011/2012,Hectare,1000
Corn,SALTA TUCUMAN,area_planted,2012-02-01,320,YEAR,1,SUM,2011/2012,Hectare,1000
Corn,SOUTH WEST BUENOS AIRES SOUTH LA PAMPA,area_planted,2012-02-01,130,YEAR,1,SUM,2011/2012,Hectare,1000
Corn,SOUTH EAST BUENOS AIRES,area_planted,2012-02-01,102,YEAR,1,SUM,2011/2012,Hectare,1000
Corn,SAN LUIS ARG,area_planted,2012-02-01,180,YEAR,1,SUM,2011/2012,Hectare,1000
Corn,Cuenca del Salado,area_planted,2012-02-01,72,YEAR,1,SUM,2011/2012,Hectare,1000
Corn,Argentina,area_planted,2012-02-01,5200,YEAR,1,SUM,2011/2012,Hectare,1000
Corn,CHACO SANTIAGO,area_planted,2012-02-01,360,YEAR,1,SUM,2011/2012,Hectare,1000
Soft wheat,Argentina,area_planted,2011-11-01,4600,YEAR,1,SUM,2011/2012,Hectare,1000
Soybean,CHACO SANTIAGO,area_planted,2012-01-01,1930,YEAR,1,SUM,2011/2012,Hectare,1000
Soft wheat,SOUTH BELT,area_planted,2011-11-01,292.8,YEAR,1,SUM,2011/2012,Hectare,1000
Soft wheat,SALTA TUCUMAN,area_planted,2011-11-01,450.8,YEAR,1,SUM,2011/2012,Hectare,1000
Soft wheat,CHACO SANTIAGO,area_planted,2011-11-01,310,YEAR,1,SUM,2011/2012,Hectare,1000
Soft wheat,CENTRAL NORTH CORDOBA,area_planted,2011-11-01,378,YEAR,1,SUM,2011/2012,Hectare,1000
Soft wheat,SOUTH CORDOBA,area_planted,2011-11-01,142.5,YEAR,1,SUM,2011/2012,Hectare,1000
Soft wheat,CENTRAL NORTH SANTA FE,area_planted,2011-11-01,184,YEAR,1,SUM,2011/2012,Hectare,1000
Soft wheat,NORTH BELT,area_planted,2011-11-01,340,YEAR,1,SUM,2011/2012,Hectare,1000
Soft wheat,CENTRAL ENTRE RIOS,area_planted,2011-11-01,220,YEAR,1,SUM,2011/2012,Hectare,1000
Soft wheat,Argentina_Others,area_planted,2011-11-01,10,YEAR,1,SUM,2011/2012,Hectare,1000
Soft wheat,WEST BUENOS AIRES NORTH LA PAMPA,area_planted,2011-11-01,260,YEAR,1,SUM,2011/2012,Hectare,1000
Soft wheat,CENTRAL BUENOS AIRES,area_planted,2011-11-01,170,YEAR,1,SUM,2011/2012,Hectare,1000
Soft wheat,SOUTH WEST BUENOS AIRES SOUTH LA PAMPA,area_planted,2011-11-01,836,YEAR,1,SUM,2011/2012,Hectare,1000
Soft wheat,SOUTH EAST BUENOS AIRES,area_planted,2011-11-01,941,YEAR,1,SUM,2011/2012,Hectare,1000
Soft wheat,SAN LUIS ARG,area_planted,2011-11-01,4.4,YEAR,1,SUM,2011/2012,Hectare,1000
Soft wheat,Cuenca del Salado,area_planted,2011-11-01,60.5,YEAR,1,SUM,2011/2012,Hectare,1000
Soybean,SALTA TUCUMAN,area_planted,2012-01-01,1260,YEAR,1,SUM,2011/2012,Hectare,1000
Corn,Argentina_Others,area_planted,2012-02-01,25.6,YEAR,1,SUM,2011/2012,Hectare,1000
Soybean,CENTRAL NORTH CORDOBA,area_planted,2012-01-01,2330,YEAR,1,SUM,2011/2012,Hectare,1000
Soybean,SOUTH CORDOBA,area_planted,2012-01-01,1400,YEAR,1,SUM,2011/2012,Hectare,1000
Soybean,SOUTH WEST BUENOS AIRES SOUTH LA PAMPA,area_planted,2012-01-01,328,YEAR,1,SUM,2011/2012,Hectare,1000
Soybean,CENTRAL NORTH SANTA FE,area_planted,2012-01-01,1116,YEAR,1,SUM,2011/2012,Hectare,1000
Soybean,NORTH BELT,area_planted,2012-01-01,3410,YEAR,1,SUM,2011/2012,Hectare,1000
Soybean,SOUTH BELT,area_planted,2012-01-01,2670,YEAR,1,SUM,2011/2012,Hectare,1000
Soybean,WEST BUENOS AIRES NORTH LA PAMPA,area_planted,2012-01-01,1550,YEAR,1,SUM,2011/2012,Hectare,1000
Soybean,CENTRAL BUENOS AIRES,area_planted,2012-01-01,565,YEAR,1,SUM,2011/2012,Hectare,1000
Soybean,CENTRAL ENTRE RIOS,area_planted,2012-01-01,1140,YEAR,1,SUM,2011/2012,Hectare,1000
Soybean,SOUTH EAST BUENOS AIRES,area_planted,2012-01-01,740,YEAR,1,SUM,2011/2012,Hectare,1000
Soybean,SAN LUIS ARG,area_planted,2012-01-01,137,YEAR,1,SUM,2011/2012,Hectare,1000
Soybean,Cuenca del Salado,area_planted,2012-01-01,222,YEAR,1,SUM,2011/2012,Hectare,1000
Soybean,Argentina_Others,area_planted,2012-01-01,52,YEAR,1,SUM,2011/2012,Hectare,1000
Soybean,Argentina,area_planted,2012-01-01,18850,YEAR,1,SUM,2011/2012,Hectare,1000
Corn,CENTRAL ENTRE RIOS,area_planted,2011-02-01,188,YEAR,1,SUM,2010/2011,Hectare,1000
Corn,Argentina_Others,area_planted,2011-02-01,25.5,YEAR,1,SUM,2010/2011,Hectare,1000
Corn,Cuenca del Salado,area_planted,2011-02-01,70,YEAR,1,SUM,2010/2011,Hectare,1000
Corn,SAN LUIS ARG,area_planted,2011-02-01,142,YEAR,1,SUM,2010/2011,Hectare,1000
Corn,SOUTH EAST BUENOS AIRES,area_planted,2011-02-01,102,YEAR,1,SUM,2010/2011,Hectare,1000
Corn,SOUTH WEST BUENOS AIRES SOUTH LA PAMPA,area_planted,2011-02-01,125,YEAR,1,SUM,2010/2011,Hectare,1000
Corn,CENTRAL BUENOS AIRES,area_planted,2011-02-01,150.5,YEAR,1,SUM,2010/2011,Hectare,1000
Corn,SOUTH BELT,area_planted,2011-02-01,530,YEAR,1,SUM,2010/2011,Hectare,1000
Soybean,SALTA TUCUMAN,area_planted,2011-01-01,1225,YEAR,1,SUM,2010/2011,Hectare,1000
Corn,NORTH BELT,area_planted,2011-02-01,590,YEAR,1,SUM,2010/2011,Hectare,1000
Corn,CENTRAL NORTH SANTA FE,area_planted,2011-02-01,182,YEAR,1,SUM,2010/2011,Hectare,1000
Corn,SOUTH CORDOBA,area_planted,2011-02-01,605,YEAR,1,SUM,2010/2011,Hectare,1000
Corn,CENTRAL NORTH CORDOBA,area_planted,2011-02-01,555,YEAR,1,SUM,2010/2011,Hectare,1000
Corn,CHACO SANTIAGO,area_planted,2011-02-01,310,YEAR,1,SUM,2010/2011,Hectare,1000
Corn,SALTA TUCUMAN,area_planted,2011-02-01,305,YEAR,1,SUM,2010/2011,Hectare,1000
Corn,Argentina,area_planted,2011-02-01,4500,YEAR,1,SUM,2010/2011,Hectare,1000
Soybean,Argentina,area_planted,2011-01-01,18500,YEAR,1,SUM,2010/2011,Hectare,1000
Soft wheat,Argentina_Others,area_planted,2010-11-01,10,YEAR,1,SUM,2010/2011,Hectare,1000
Soybean,CENTRAL BUENOS AIRES,area_planted,2011-01-01,561,YEAR,1,SUM,2010/2011,Hectare,1000
Soybean,Argentina_Others,area_planted,2011-01-01,52,YEAR,1,SUM,2010/2011,Hectare,1000
Soybean,Cuenca del Salado,area_planted,2011-01-01,216,YEAR,1,SUM,2010/2011,Hectare,1000
Soybean,SAN LUIS ARG,area_planted,2011-01-01,131,YEAR,1,SUM,2010/2011,Hectare,1000
Soybean,SOUTH EAST BUENOS AIRES,area_planted,2011-01-01,715,YEAR,1,SUM,2010/2011,Hectare,1000
Soybean,SOUTH WEST BUENOS AIRES SOUTH LA PAMPA,area_planted,2011-01-01,330,YEAR,1,SUM,2010/2011,Hectare,1000
Soybean,WEST BUENOS AIRES NORTH LA PAMPA,area_planted,2011-01-01,1540,YEAR,1,SUM,2010/2011,Hectare,1000
Soybean,CHACO SANTIAGO,area_planted,2011-01-01,1810,YEAR,1,SUM,2010/2011,Hectare,1000
Soybean,CENTRAL ENTRE RIOS,area_planted,2011-01-01,1140,YEAR,1,SUM,2010/2011,Hectare,1000
Soybean,SOUTH BELT,area_planted,2011-01-01,2600,YEAR,1,SUM,2010/2011,Hectare,1000
Soybean,NORTH BELT,area_planted,2011-01-01,3360,YEAR,1,SUM,2010/2011,Hectare,1000
Soybean,CENTRAL NORTH SANTA FE,area_planted,2011-01-01,1100,YEAR,1,SUM,2010/2011,Hectare,1000
Soybean,SOUTH CORDOBA,area_planted,2011-01-01,1400,YEAR,1,SUM,2010/2011,Hectare,1000
Soybean,CENTRAL NORTH CORDOBA,area_planted,2011-01-01,2320,YEAR,1,SUM,2010/2011,Hectare,1000
Soft wheat,Argentina,area_planted,2010-11-01,4700,YEAR,1,SUM,2010/2011,Hectare,1000
Corn,WEST BUENOS AIRES NORTH LA PAMPA,area_planted,2011-02-01,620,YEAR,1,SUM,2010/2011,Hectare,1000
Soft wheat,Cuenca del Salado,area_planted,2010-11-01,56,YEAR,1,SUM,2010/2011,Hectare,1000
Soft wheat,SAN LUIS ARG,area_planted,2010-11-01,4,YEAR,1,SUM,2010/2011,Hectare,1000
Soft wheat,NORTH BELT,area_planted,2010-11-01,420,YEAR,1,SUM,2010/2011,Hectare,1000
Soft wheat,SOUTH EAST BUENOS AIRES,area_planted,2010-11-01,1070,YEAR,1,SUM,2010/2011,Hectare,1000
Soft wheat,SOUTH WEST BUENOS AIRES SOUTH LA PAMPA,area_planted,2010-11-01,760,YEAR,1,SUM,2010/2011,Hectare,1000
Soft wheat,CENTRAL BUENOS AIRES,area_planted,2010-11-01,155,YEAR,1,SUM,2010/2011,Hectare,1000
Soft wheat,CENTRAL ENTRE RIOS,area_planted,2010-11-01,230,YEAR,1,SUM,2010/2011,Hectare,1000
Soft wheat,SOUTH BELT,area_planted,2010-11-01,325,YEAR,1,SUM,2010/2011,Hectare,1000
Soft wheat,WEST BUENOS AIRES NORTH LA PAMPA,area_planted,2010-11-01,220,YEAR,1,SUM,2010/2011,Hectare,1000
Soft wheat,CENTRAL NORTH SANTA FE,area_planted,2010-11-01,160,YEAR,1,SUM,2010/2011,Hectare,1000
Soft wheat,SOUTH CORDOBA,area_planted,2010-11-01,150,YEAR,1,SUM,2010/2011,Hectare,1000
Soft wheat,CENTRAL NORTH CORDOBA,area_planted,2010-11-01,420,YEAR,1,SUM,2010/2011,Hectare,1000
Soft wheat,CHACO SANTIAGO,area_planted,2010-11-01,260,YEAR,1,SUM,2010/2011,Hectare,1000
Soft wheat,SALTA TUCUMAN,area_planted,2010-11-01,460,YEAR,1,SUM,2010/2011,Hectare,1000
Soybean,CHACO SANTIAGO,area_planted,2010-01-01,1800,YEAR,1,SUM,2009/2010,Hectare,1000
Corn,SOUTH BELT,area_planted,2010-02-01,385,YEAR,1,SUM,2009/2010,Hectare,1000
Corn,CENTRAL NORTH SANTA FE,area_planted,2010-02-01,118,YEAR,1,SUM,2009/2010,Hectare,1000
Corn,SOUTH CORDOBA,area_planted,2010-02-01,455,YEAR,1,SUM,2009/2010,Hectare,1000
Corn,CENTRAL NORTH CORDOBA,area_planted,2010-02-01,467,YEAR,1,SUM,2009/2010,Hectare,1000
Corn,CHACO SANTIAGO,area_planted,2010-02-01,190,YEAR,1,SUM,2009/2010,Hectare,1000
Corn,SALTA TUCUMAN,area_planted,2010-02-01,150,YEAR,1,SUM,2009/2010,Hectare,1000
Soft wheat,Argentina,area_planted,2009-11-01,3330,YEAR,1,SUM,2009/2010,Hectare,1000
Soft wheat,Argentina_Others,area_planted,2009-11-01,8,YEAR,1,SUM,2009/2010,Hectare,1000
Soft wheat,Cuenca del Salado,area_planted,2009-11-01,50,YEAR,1,SUM,2009/2010,Hectare,1000
Soft wheat,SAN LUIS ARG,area_planted,2009-11-01,9,YEAR,1,SUM,2009/2010,Hectare,1000
Soft wheat,SOUTH EAST BUENOS AIRES,area_planted,2009-11-01,1090,YEAR,1,SUM,2009/2010,Hectare,1000
Soft wheat,SOUTH WEST BUENOS AIRES SOUTH LA PAMPA,area_planted,2009-11-01,690,YEAR,1,SUM,2009/2010,Hectare,1000
Soft wheat,CENTRAL BUENOS AIRES,area_planted,2009-11-01,140,YEAR,1,SUM,2009/2010,Hectare,1000
Soft wheat,WEST BUENOS AIRES NORTH LA PAMPA,area_planted,2009-11-01,150,YEAR,1,SUM,2009/2010,Hectare,1000
Soft wheat,CENTRAL ENTRE RIOS,area_planted,2009-11-01,250,YEAR,1,SUM,2009/2010,Hectare,1000
Soft wheat,SOUTH BELT,area_planted,2009-11-01,210,YEAR,1,SUM,2009/2010,Hectare,1000
Soft wheat,NORTH BELT,area_planted,2009-11-01,175,YEAR,1,SUM,2009/2010,Hectare,1000
Soft wheat,CENTRAL NORTH SANTA FE,area_planted,2009-11-01,86,YEAR,1,SUM,2009/2010,Hectare,1000
Soft wheat,SOUTH CORDOBA,area_planted,2009-11-01,72,YEAR,1,SUM,2009/2010,Hectare,1000
Soft wheat,CENTRAL NORTH CORDOBA,area_planted,2009-11-01,120,YEAR,1,SUM,2009/2010,Hectare,1000
Soft wheat,CHACO SANTIAGO,area_planted,2009-11-01,10,YEAR,1,SUM,2009/2010,Hectare,1000
Corn,NORTH BELT,area_planted,2010-02-01,430,YEAR,1,SUM,2009/2010,Hectare,1000
Corn,CENTRAL ENTRE RIOS,area_planted,2010-02-01,119,YEAR,1,SUM,2009/2010,Hectare,1000
Corn,WEST BUENOS AIRES NORTH LA PAMPA,area_planted,2010-02-01,500,YEAR,1,SUM,2009/2010,Hectare,1000
Soybean,Argentina_Others,area_planted,2010-01-01,42,YEAR,1,SUM,2009/2010,Hectare,1000
Soybean,Cuenca del Salado,area_planted,2010-01-01,205,YEAR,1,SUM,2009/2010,Hectare,1000
Soybean,SAN LUIS ARG,area_planted,2010-01-01,151,YEAR,1,SUM,2009/2010,Hectare,1000
Soybean,SOUTH EAST BUENOS AIRES,area_planted,2010-01-01,620,YEAR,1,SUM,2009/2010,Hectare,1000
Soybean,SOUTH WEST BUENOS AIRES SOUTH LA PAMPA,area_planted,2010-01-01,310,YEAR,1,SUM,2009/2010,Hectare,1000
Soybean,CENTRAL BUENOS AIRES,area_planted,2010-01-01,507,YEAR,1,SUM,2009/2010,Hectare,1000
Soybean,WEST BUENOS AIRES NORTH LA PAMPA,area_planted,2010-01-01,1520,YEAR,1,SUM,2009/2010,Hectare,1000
Soybean,CENTRAL ENTRE RIOS,area_planted,2010-01-01,1209,YEAR,1,SUM,2009/2010,Hectare,1000
Soybean,SOUTH BELT,area_planted,2010-01-01,2680,YEAR,1,SUM,2009/2010,Hectare,1000
Soybean,NORTH BELT,area_planted,2010-01-01,3432,YEAR,1,SUM,2009/2010,Hectare,1000
Soybean,CENTRAL NORTH SANTA FE,area_planted,2010-01-01,1020,YEAR,1,SUM,2009/2010,Hectare,1000
Soybean,SOUTH CORDOBA,area_planted,2010-01-01,1400,YEAR,1,SUM,2009/2010,Hectare,1000
Soybean,CENTRAL NORTH CORDOBA,area_planted,2010-01-01,2400,YEAR,1,SUM,2009/2010,Hectare,1000
Soybean,SALTA TUCUMAN,area_planted,2010-01-01,1204,YEAR,1,SUM,2009/2010,Hectare,1000
Corn,Argentina,area_planted,2010-02-01,3200,YEAR,1,SUM,2009/2010,Hectare,1000
Corn,Argentina_Others,area_planted,2010-02-01,24,YEAR,1,SUM,2009/2010,Hectare,1000
Corn,Cuenca del Salado,area_planted,2010-02-01,46.5,YEAR,1,SUM,2009/2010,Hectare,1000
Corn,SAN LUIS ARG,area_planted,2010-02-01,94,YEAR,1,SUM,2009/2010,Hectare,1000
Corn,SOUTH EAST BUENOS AIRES,area_planted,2010-02-01,59,YEAR,1,SUM,2009/2010,Hectare,1000
Corn,SOUTH WEST BUENOS AIRES SOUTH LA PAMPA,area_planted,2010-02-01,81.5,YEAR,1,SUM,2009/2010,Hectare,1000
Corn,CENTRAL BUENOS AIRES,area_planted,2010-02-01,81,YEAR,1,SUM,2009/2010,Hectare,1000
Soft wheat,SALTA TUCUMAN,area_planted,2009-11-01,270,YEAR,1,SUM,2009/2010,Hectare,1000
Soybean,Argentina,area_planted,2010-01-01,18500,YEAR,1,SUM,2009/2010,Hectare,1000
Soft wheat,SOUTH BELT,area_planted,2008-11-01,350,YEAR,1,SUM,2008/2009,Hectare,1000
Soft wheat,SALTA TUCUMAN,area_planted,2008-11-01,385,YEAR,1,SUM,2008/2009,Hectare,1000
Soft wheat,CHACO SANTIAGO,area_planted,2008-11-01,30,YEAR,1,SUM,2008/2009,Hectare,1000
Soft wheat,CENTRAL NORTH CORDOBA,area_planted,2008-11-01,300,YEAR,1,SUM,2008/2009,Hectare,1000
Soft wheat,SOUTH CORDOBA,area_planted,2008-11-01,180,YEAR,1,SUM,2008/2009,Hectare,1000
Soft wheat,CENTRAL NORTH SANTA FE,area_planted,2008-11-01,135,YEAR,1,SUM,2008/2009,Hectare,1000
Soft wheat,NORTH BELT,area_planted,2008-11-01,420,YEAR,1,SUM,2008/2009,Hectare,1000
Corn,Argentina_Others,area_planted,2009-02-01,38,YEAR,1,SUM,2008/2009,Hectare,1000
Soft wheat,WEST BUENOS AIRES NORTH LA PAMPA,area_planted,2008-11-01,350,YEAR,1,SUM,2008/2009,Hectare,1000
Corn,SOUTH CORDOBA,area_planted,2009-02-01,600,YEAR,1,SUM,2008/2009,Hectare,1000
Corn,SAN LUIS ARG,area_planted,2009-02-01,64,YEAR,1,SUM,2008/2009,Hectare,1000
Corn,SOUTH EAST BUENOS AIRES,area_planted,2009-02-01,70,YEAR,1,SUM,2008/2009,Hectare,1000
Corn,SOUTH WEST BUENOS AIRES SOUTH LA PAMPA,area_planted,2009-02-01,115,YEAR,1,SUM,2008/2009,Hectare,1000
Corn,CENTRAL BUENOS AIRES,area_planted,2009-02-01,116,YEAR,1,SUM,2008/2009,Hectare,1000
Corn,WEST BUENOS AIRES NORTH LA PAMPA,area_planted,2009-02-01,512,YEAR,1,SUM,2008/2009,Hectare,1000
Corn,CENTRAL ENTRE RIOS,area_planted,2009-02-01,106,YEAR,1,SUM,2008/2009,Hectare,1000
Corn,SOUTH BELT,area_planted,2009-02-01,470,YEAR,1,SUM,2008/2009,Hectare,1000
Corn,NORTH BELT,area_planted,2009-02-01,530,YEAR,1,SUM,2008/2009,Hectare,1000
Corn,CENTRAL NORTH SANTA FE,area_planted,2009-02-01,140,YEAR,1,SUM,2008/2009,Hectare,1000
Corn,CENTRAL NORTH CORDOBA,area_planted,2009-02-01,575,YEAR,1,SUM,2008/2009,Hectare,1000
Soft wheat,CENTRAL BUENOS AIRES,area_planted,2008-11-01,185,YEAR,1,SUM,2008/2009,Hectare,1000
Corn,CHACO SANTIAGO,area_planted,2009-02-01,190,YEAR,1,SUM,2008/2009,Hectare,1000
Corn,SALTA TUCUMAN,area_planted,2009-02-01,140,YEAR,1,SUM,2008/2009,Hectare,1000
Soft wheat,Argentina,area_planted,2008-11-01,4700,YEAR,1,SUM,2008/2009,Hectare,1000
Soft wheat,Argentina_Others,area_planted,2008-11-01,20,YEAR,1,SUM,2008/2009,Hectare,1000
Corn,Argentina,area_planted,2009-02-01,3750,YEAR,1,SUM,2008/2009,Hectare,1000
